Port Name,Port Code
Portland,101
Eastport_ME,103
Jackman,104
Vanceboro,105
Houlton,106
Fort Fairfield,107
Van Buren,108
Madawaska,109
Fort Kent,110
Bar Harbor,112
Calais,115
Limestone,118
Bridgewater,127
Richford,203
Beecher Falls,206
Derby Line,209
Norton,211
Highgate Springs,212
Ogdensburg,701
Massena,704
Cape Vincent,706
Alexandria Bay,708
Champlain Rouses Point,712
Trout River,715
Buffalo Niagara Falls,901
Brownsville,2301
Del Rio,2302
Eagle Pass,2303
Laredo,2304
Hidalgo,2305
Rio Grande City,2307
Progreso,2309
Roma,2310
Ysleta,2401
El Paso,2402
Presidio,2403
Tornillo,2404
Columbus,2406
Santa Teresa,2408
Boquillas,2410
Andrade,2502
Calexico,2503
San Ysidro,2504
Tecate,2505
Otay Mesa,2506
Calexico East,2507
Cross Border Xpress,2582
Douglas,2601
Lukeville,2602
Naco,2603
Nogales,2604
Sasabe,2606
San Luis,2608
Blaine,3004
Port Angeles,3007
Sumas,3009
Anacortes,3010
Nighthawk,3011
Danville,3012
Ferry,3013
Friday Harbor,3014
Boundary,3015
Laurier,3016
Point Roberts,3017
Oroville,3019
Frontier,3020
Kenneth G Ward,3023
Metaline Falls,3025
Ketchikan,3102
Skagway,3103
Alcan,3104
Dalton Cache,3106
Raymond,3301
Eastport_ID,3302
Turner,3306
Porthill,3308
Scobey,3309
Sweetgrass,3310
Whitetail,3312
Piegan,3316
Opheim,3317
Roosville,3318
Morgan,3319
Whitlash,3321
Del Bonita,3322
Wildhorse,3323
Willow Creek,3325
Pembina,3401
Noyes,3402
Portal,3403
Neche,3404
St John,3405
Northgate,3406
Walhalla,3407
Hannah,3408
Sarles,3409
Ambrose,3410
Antler,3413
Sherwood,3414
Hansboro,3415
Maida,3416
Fortuna,3417
Westhope,3419
Noonan,3420
Carbury,3421
Dunseith,3422
Warroad,3423
Baudette,3424
Pinecreek,3425
Roseau,3426
Lancaster,3430
International Falls,3604
Grand Portage,3613
Detroit,3801
Port Huron,3802
Sault Sainte Marie,3803
Algonac,3814
