State,State_Code,Abbr,Latitude,Longitude
Maine,001,ME,44.6937,-69.3819
Idaho,002,ID,44.0682,-114.742
Arizona,003,AZ,34.0489,-111.0937
Montana,004,MT,46.8797,-110.3626
Minnesota,005,MN,46.7296,-94.6859
Texas,006,TX,31.9686,-99.9018
North Dakota,007,ND,47.5515,-101.002
Washington,008,WA,47.7511,-120.7401
Alaska,009,AK,61.385,-152.2683
California,010,CA,36.7783,-119.4179
Michigan,011,MI,44.3148,-85.6024
New York,012,NY,40.7128,-74.006
New Mexico,013,NM,34.5199,-105.8701
Vermont,014,VT,44.5588,-72.5778
